년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),최소전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,최소전력기준일시
2025,12,31,157063,106624,79488,"60,555",27136,34.1,2025/12/31(09:00),2025/12/31(04:00)
2025,12,30,156981,101442,79693,"59,559",21749,27.3,2025/12/30(09:00),2025/12/30(04:00)
2025,12,29,156981,104240,79283,"54,793",24957,31.5,2025/12/29(10:00),2025/12/29(04:00)
2025,12,28,156981,101070,65599,"52,333",35471,54.1,2025/12/28(19:00),2025/12/28(14:00)
2025,12,27,156981,102910,69190,"60,022",33720,48.7,2025/12/27(19:00),2025/12/27(13:00)
2025,12,26,156981,106271,82377,"60,896",23894,29,2025/12/26(18:00),2025/12/26(04:00)
2025,12,25,156637,105458,72089,"55,977",33369,46.3,2025/12/25(19:00),2025/12/25(13:00)
2025,12,24,156637,104228,82180,"59,318",22048,26.8,2025/12/24(11:00),2025/12/24(04:00)
2025,12,23,156637,102715,82812,"60,732",19903,24,2025/12/23(10:00),2025/12/23(04:00)
2025,12,22,156637,102577,81177,"56,284",21400,26.4,2025/12/22(09:00),2025/12/22(04:00)
2025,12,21,156637,101268,66522,"49,574",34746,52.2,2025/12/21(19:00),2025/12/21(14:00)
2025,12,20,156637,96583,64243,"57,087",32340,50.3,2025/12/20(11:00),2025/12/20(05:00)
2025,12,19,156637,102990,81098,"60,410",21892,27,2025/12/19(10:00),2025/12/19(04:00)
2025,12,18,156637,102466,79780,"60,153",22686,28.4,2025/12/18(09:00),2025/12/18(04:00)
2025,12,17,156637,99912,77799,"58,813",22113,28.4,2025/12/17(09:00),2025/12/17(04:00)
2025,12,16,156629,101995,82243,"59,994",19752,24,2025/12/16(10:00),2025/12/16(04:00)
2025,12,15,156629,104498,81217,"55,820",23281,28.7,2025/12/15(10:00),2025/12/15(04:00)
2025,12,14,156629,102395,66818,"55,011",35577,53.2,2025/12/14(19:00),2025/12/14(04:00)
2025,12,13,156629,97840,67247,"58,181",30593,45.5,2025/12/13(18:00),2025/12/13(04:00)
