date,node,hour,predicted_deficit_mwh
2025-05-04,서화성,10,1821.4
2025-05-04,안중,10,1821.4
2025-05-04,서화성,11,1750.7
2025-05-04,안중,11,1750.7
2025-05-04,서화성,12,1602.8
2025-05-04,안중,12,1602.8
2025-05-04,서화성,13,1360.6
2025-05-04,안중,13,1360.6
2025-05-04,서화성,14,1434.2
2025-05-04,안중,14,1434.2
2025-05-04,서화성,15,1394.6
2025-05-04,안중,15,1394.6
2025-05-04,서화성,16,1393.6
2025-05-04,안중,16,1393.6
2025-05-04,서화성,17,1460.6
2025-05-04,안중,17,1460.6
2025-05-04,서화성,18,1509.9
2025-05-04,안중,18,1509.9
2025-05-02,서화성,10,1799.3
2025-05-02,안중,10,1799.3
2025-05-02,서화성,11,1846
2025-05-02,안중,11,1846
2025-05-02,서화성,12,1861.3
2025-05-02,안중,12,1861.3
2025-05-02,서화성,13,1763.6
2025-05-02,안중,13,1763.6
2025-05-02,서화성,14,1981.9
2025-05-02,안중,14,1981.9
2025-05-02,서화성,15,2001.7
2025-05-02,안중,15,2001.7
2025-05-02,서화성,16,1895.8
2025-05-02,안중,16,1895.8
2025-05-02,서화성,17,1821.2
2025-05-02,안중,17,1821.2
2025-05-02,서화성,18,1825.7
2025-05-02,안중,18,1825.7
2025-05-18,서화성,10,1551.8
2025-05-18,안중,10,1551.8
2025-05-18,서화성,11,1692.6
2025-05-18,안중,11,1692.6
2025-05-18,서화성,12,1729.9
2025-05-18,안중,12,1729.9
2025-05-18,서화성,13,1667
2025-05-18,안중,13,1667
2025-05-18,서화성,14,1851.4
2025-05-18,안중,14,1851.4
2025-05-18,서화성,15,1971.8
2025-05-18,안중,15,1971.8
2025-05-18,서화성,16,2053.4
2025-05-18,안중,16,2053.4
2025-05-18,서화성,17,2089.1
2025-05-18,안중,17,2089.1
2025-05-18,서화성,18,2056.7
2025-05-18,안중,18,2056.7
2025-05-25,서화성,10,1923.5
2025-05-25,안중,10,1923.5
2025-05-25,서화성,11,2051.3
2025-05-25,안중,11,2051.3
2025-05-25,서화성,12,1996.7
2025-05-25,안중,12,1996.7
2025-05-25,서화성,13,1836
2025-05-25,안중,13,1836
2025-05-25,서화성,14,1945.1
2025-05-25,안중,14,1945.1
2025-05-25,서화성,15,1983.5
2025-05-25,안중,15,1983.5
2025-05-25,서화성,16,1959.4
2025-05-25,안중,16,1959.4
2025-05-25,서화성,17,1961.4
2025-05-25,안중,17,1961.4
2025-05-25,서화성,18,1841.6
2025-05-25,안중,18,1841.6
2025-04-06,서화성,10,1916.5
2025-04-06,안중,10,1916.5
2025-04-06,서화성,11,1793.6
2025-04-06,안중,11,1793.6
2025-04-06,서화성,12,1614.4
2025-04-06,안중,12,1614.4
2025-04-06,서화성,13,1351.2
2025-04-06,안중,13,1351.2
2025-04-06,서화성,14,1499.5
2025-04-06,안중,14,1499.5
2025-04-06,서화성,15,1576.8
2025-04-06,안중,15,1576.8
2025-04-06,서화성,16,1671.6
2025-04-06,안중,16,1671.6
2025-04-06,서화성,17,1817.7
2025-04-06,안중,17,1817.7
2025-04-06,서화성,18,1881
2025-04-06,안중,18,1881
2025-04-26,서화성,10,1822.6
2025-04-26,안중,10,1822.6
2025-04-26,서화성,11,1692.1
2025-04-26,안중,11,1692.1
2025-04-26,서화성,12,1504.2
2025-04-26,안중,12,1504.2
2025-04-26,서화성,13,1254.3
2025-04-26,안중,13,1254.3
2025-04-26,서화성,14,1408.3
2025-04-26,안중,14,1408.3
2025-04-26,서화성,15,1454.4
2025-04-26,안중,15,1454.4
2025-04-26,서화성,16,1510.1
2025-04-26,안중,16,1510.1
2025-04-26,서화성,17,1658.1
2025-04-26,안중,17,1658.1
2025-04-26,서화성,18,1717
2025-04-26,안중,18,1717
2025-05-12,서화성,10,1752.8
2025-05-12,안중,10,1752.8
2025-05-12,서화성,11,1594.9
2025-05-12,안중,11,1594.9
2025-05-12,서화성,12,1420.9
2025-05-12,안중,12,1420.9
2025-05-12,서화성,13,1147.3
2025-05-12,안중,13,1147.3
2025-05-12,서화성,14,1309.8
2025-05-12,안중,14,1309.8
2025-05-12,서화성,15,1416.9
2025-05-12,안중,15,1416.9
2025-05-12,서화성,16,1517.7
2025-05-12,안중,16,1517.7
2025-05-12,서화성,17,1662.8
2025-05-12,안중,17,1662.8
2025-05-12,서화성,18,1677.8
2025-05-12,안중,18,1677.8
