일시,공급능력(MW),현재부하(MW),공급예비력(MW),공급예비율(%),기온(°C)
2026-08-13 13:20,108013,79152,28861,36.5,""""""
2026-08-13 13:15,107800,79011,28789,36.4,""""""
2026-08-13 13:10,107639,78688,28951,36.8,""""""
2026-08-13 13:05,107644,78202,29442,37.6,""""""
2026-08-13 13:00,107832,77499,30333,39.1,""""""
2026-08-13 12:55,107842,76606,31235,40.8,""""""
2026-08-13 12:50,107976,75871,32105,42.3,""""""
2026-08-13 12:45,108083,75695,32389,42.8,""""""
2026-08-13 12:40,108135,75981,32154,42.3,""""""
2026-08-13 12:35,108107,75683,32424,42.8,""""""
2026-08-13 12:30,107983,75566,32417,42.9,""""""
2026-08-13 12:25,107966,75449,32516,43.1,""""""
2026-08-13 12:20,107588,75305,32284,42.9,""""""
2026-08-13 12:15,107717,75508,32209,42.7,""""""
2026-08-13 12:10,107629,75564,32065,42.4,""""""
2026-08-13 12:05,107651,75475,32176,42.6,""""""
2026-08-13 12:00,107819,75696,32123,42.4,""""""
2026-08-13 11:55,107902,76359,31543,41.3,""""""
2026-08-13 11:50,107994,76982,31011,40.3,""""""
2026-08-13 11:45,107801,77326,30475,39.4,""""""
2026-08-13 11:40,107932,77543,30388,39.2,""""""
2026-08-13 11:35,108011,77753,30258,38.9,""""""
2026-08-13 11:30,108043,77274,30769,39.8,""""""
2026-08-13 11:25,107944,77276,30668,39.7,""""""
2026-08-13 11:20,107827,77272,30556,39.5,""""""
2026-08-13 11:15,107922,77531,30391,39.2,""""""
2026-08-13 11:10,107913,77532,30382,39.2,""""""
2026-08-13 11:05,107886,77525,30361,39.2,""""""
2026-08-13 11:00,108118,77381,30737,39.7,""""""
2026-08-13 10:55,108218,77314,30904,40,""""""
2026-08-13 10:50,108048,76816,31232,40.7,""""""
2026-08-13 10:45,107867,76920,30947,40.2,""""""
2026-08-13 10:40,107539,76649,30890,40.3,""""""
2026-08-13 10:35,107486,76805,30681,39.9,""""""
2026-08-13 10:30,107468,76873,30594,39.8,""""""
2026-08-13 10:25,107396,77023,30372,39.4,""""""
2026-08-13 10:20,107399,76993,30406,39.5,""""""
2026-08-13 10:15,107406,76460,30946,40.5,""""""
2026-08-13 10:10,107418,75729,31688,41.8,""""""
2026-08-13 10:05,107000,75990,31010,40.8,""""""
2026-08-13 10:00,107068,75837,31231,41.2,""""""
2026-08-13 09:55,106997,75778,31219,41.2,""""""
2026-08-13 09:50,106939,75786,31153,41.1,""""""
2026-08-13 09:45,106789,75858,30931,40.8,""""""
2026-08-13 09:40,106548,75883,30664,40.4,""""""
2026-08-13 09:35,106388,75953,30436,40.1,""""""
2026-08-13 09:30,106303,75670,30634,40.5,""""""
2026-08-13 09:25,106218,75810,30408,40.1,""""""
2026-08-13 09:20,106178,75516,30663,40.6,""""""
2026-08-13 09:15,106106,75440,30666,40.6,""""""
2026-08-13 09:10,106011,75160,30851,41,""""""
2026-08-13 09:05,105932,74778,31154,41.7,""""""
2026-08-13 09:00,106317,74144,32173,43.4,""""""
2026-08-13 08:55,106195,74113,32083,43.3,""""""
2026-08-13 08:50,106037,73777,32260,43.7,""""""
2026-08-13 08:45,105991,73608,32383,44,""""""
2026-08-13 08:40,105831,73208,32623,44.6,""""""
2026-08-13 08:35,105796,72718,33077,45.5,""""""
2026-08-13 08:30,105625,72239,33386,46.2,""""""
2026-08-13 08:25,105548,71611,33937,47.4,""""""
2026-08-13 08:20,105402,71172,34230,48.1,""""""
2026-08-13 08:15,105370,70944,34426,48.5,""""""
2026-08-13 08:10,105135,70346,34790,49.5,""""""
2026-08-13 08:05,104991,69890,35101,50.2,""""""
2026-08-13 08:00,105400,69068,36333,52.6,""""""
2026-08-13 07:55,105366,68708,36658,53.4,""""""
2026-08-13 07:50,105211,68479,36732,53.6,""""""
2026-08-13 07:45,105061,68010,37051,54.5,""""""
2026-08-13 07:40,104957,67990,36967,54.4,""""""
2026-08-13 07:35,104871,67742,37129,54.8,""""""
2026-08-13 07:30,104811,67594,37218,55.1,""""""
2026-08-13 07:25,104701,67365,37336,55.4,""""""
2026-08-13 07:20,104767,67461,37305,55.3,""""""
2026-08-13 07:15,104694,67324,37370,55.5,""""""
2026-08-13 07:10,104585,67034,37551,56,""""""
2026-08-13 07:05,104522,66427,38095,57.3,""""""
2026-08-13 07:00,105296,65593,39703,60.5,""""""
2026-08-13 06:55,105180,65017,40164,61.8,""""""
2026-08-13 06:50,105157,64624,40533,62.7,""""""
2026-08-13 06:45,105121,64669,40452,62.6,""""""
2026-08-13 06:40,105092,64438,40654,63.1,""""""
2026-08-13 06:35,105049,64320,40730,63.3,""""""
2026-08-13 06:30,105004,63927,41076,64.3,""""""
2026-08-13 06:25,104947,63624,41324,65,""""""
2026-08-13 06:20,104942,63234,41708,66,""""""
2026-08-13 06:15,104883,63047,41836,66.4,""""""
2026-08-13 06:10,104894,62781,42114,67.1,""""""
2026-08-13 06:05,104885,63024,41861,66.4,""""""
2026-08-13 06:00,104937,62453,42484,68,""""""
2026-08-13 05:55,104905,62072,42833,69,""""""
2026-08-13 05:50,104920,61966,42954,69.3,""""""
2026-08-13 05:45,104915,61799,43116,69.8,""""""
2026-08-13 05:40,104919,61511,43409,70.6,""""""
2026-08-13 05:35,104933,61591,43342,70.4,""""""
2026-08-13 05:30,104945,61416,43529,70.9,""""""
2026-08-13 05:25,104929,61195,43734,71.5,""""""
2026-08-13 05:20,104971,61372,43599,71,""""""
2026-08-13 05:15,104942,61076,43866,71.8,""""""
2026-08-13 05:10,104918,61063,43855,71.8,""""""
2026-08-13 05:05,104925,60990,43936,72,""""""
2026-08-13 05:00,104883,60682,44201,72.8,""""""
2026-08-13 04:55,104877,60551,44326,73.2,""""""
2026-08-13 04:50,104865,60223,44642,74.1,""""""
2026-08-13 04:45,104881,60662,44219,72.9,""""""
2026-08-13 04:40,104852,60282,44570,73.9,""""""
2026-08-13 04:35,104874,60522,44353,73.3,""""""
2026-08-13 04:30,104894,60519,44376,73.3,""""""
2026-08-13 04:25,104890,60174,44716,74.3,""""""
2026-08-13 04:20,104914,60088,44826,74.6,""""""
2026-08-13 04:15,104904,60000,44904,74.8,""""""
2026-08-13 04:10,104911,60430,44480,73.6,""""""
2026-08-13 04:05,104918,60350,44568,73.8,""""""
2026-08-13 04:00,104845,60557,44288,73.1,""""""
2026-08-13 03:55,104828,60030,44798,74.6,""""""
2026-08-13 03:50,104840,60018,44822,74.7,""""""
2026-08-13 03:45,104805,60128,44677,74.3,""""""
2026-08-13 03:40,104805,60348,44456,73.7,""""""
2026-08-13 03:35,104806,60224,44582,74,""""""
2026-08-13 03:30,104783,60452,44330,73.3,""""""
2026-08-13 03:25,104824,60836,43988,72.3,""""""
2026-08-13 03:20,104817,60725,44092,72.6,""""""
2026-08-13 03:15,104808,60732,44076,72.6,""""""
2026-08-13 03:10,104798,60653,44145,72.8,""""""
2026-08-13 03:05,104814,60727,44086,72.6,""""""
2026-08-13 03:00,104672,60533,44138,72.9,""""""
2026-08-13 02:55,104649,60828,43821,72,""""""
2026-08-13 02:50,104633,60765,43868,72.2,""""""
2026-08-13 02:45,104637,61376,43262,70.5,""""""
2026-08-13 02:40,104624,61310,43314,70.6,""""""
2026-08-13 02:35,104591,61337,43254,70.5,""""""
2026-08-13 02:30,104556,61615,42941,69.7,""""""
2026-08-13 02:25,104540,61684,42857,69.5,""""""
2026-08-13 02:20,104545,61652,42893,69.6,""""""
2026-08-13 02:15,104549,61762,42787,69.3,""""""
2026-08-13 02:10,104531,61940,42591,68.8,""""""
2026-08-13 02:05,104540,62032,42508,68.5,""""""
2026-08-13 02:00,104441,62225,42216,67.8,""""""
2026-08-13 01:55,104442,62616,41825,66.8,""""""
2026-08-13 01:50,104390,62458,41932,67.1,""""""
2026-08-13 01:45,104331,62659,41672,66.5,""""""
2026-08-13 01:40,104317,62983,41334,65.6,""""""
2026-08-13 01:35,104346,63047,41299,65.5,""""""
2026-08-13 01:30,104445,63315,41130,65,""""""
2026-08-13 01:25,104453,63260,41193,65.1,""""""
2026-08-13 01:20,104501,63541,40960,64.5,""""""
2026-08-13 01:15,104492,63869,40623,63.6,""""""
2026-08-13 01:10,104504,64200,40304,62.8,""""""
2026-08-13 01:05,104514,64076,40438,63.1,""""""
2026-08-13 01:00,104372,64291,40081,62.3,""""""
2026-08-13 00:55,104374,64595,39779,61.6,""""""
2026-08-13 00:50,104365,64905,39460,60.8,""""""
2026-08-13 00:45,104366,65219,39147,60,""""""
2026-08-13 00:40,104369,65682,38687,58.9,""""""
2026-08-13 00:35,104371,65745,38626,58.8,""""""
2026-08-13 00:30,104373,65755,38618,58.7,""""""
2026-08-13 00:25,104370,65930,38440,58.3,""""""
2026-08-13 00:20,104383,66296,38087,57.4,""""""
2026-08-13 00:15,104380,66783,37598,56.3,""""""
2026-08-13 00:10,104377,67004,37373,55.8,""""""
2026-08-13 00:05,104405,67388,37017,54.9,""""""
2026-08-13 00:00,104259,67556,36703,54.3,""""""
