date,node,hour,solar_mwh,chargeable_mwh
2026-08-13,남원,0,0.0,0.0
2026-08-13,남원,1,0.0,0.0
2026-08-13,남원,2,0.0,0.0
2026-08-13,남원,3,0.0,0.0
2026-08-13,남원,4,0.0,0.0
2026-08-13,남원,5,0.5,0.0
2026-08-13,남원,6,27.1,0.0
2026-08-13,남원,7,113.4,0.0
2026-08-13,남원,8,229.1,85.3
2026-08-13,남원,9,326.6,135.9
2026-08-13,남원,10,276.6,272.5
2026-08-13,남원,11,192.0,410.1
2026-08-13,남원,12,213.4,407.4
2026-08-13,남원,13,243.4,372.3
2026-08-13,남원,14,325.1,220.4
2026-08-13,남원,15,300.2,155.9
2026-08-13,남원,16,262.6,76.3
2026-08-13,남원,17,189.3,0.0
2026-08-13,남원,18,113.0,0.0
2026-08-13,남원,19,82.5,0.0
2026-08-13,남원,20,69.2,0.0
2026-08-13,남원,21,38.7,0.0
2026-08-13,남원,22,9.8,0.0
2026-08-13,남원,23,1.0,0.0
2026-08-13,동산,0,0.0,0.0
2026-08-13,동산,1,0.0,0.0
2026-08-13,동산,2,0.0,0.0
2026-08-13,동산,3,0.0,0.0
2026-08-13,동산,4,0.0,0.0
2026-08-13,동산,5,0.5,0.0
2026-08-13,동산,6,27.1,0.0
2026-08-13,동산,7,113.4,0.0
2026-08-13,동산,8,229.1,85.3
2026-08-13,동산,9,326.6,135.9
2026-08-13,동산,10,276.6,272.5
2026-08-13,동산,11,192.0,410.1
2026-08-13,동산,12,213.4,407.4
2026-08-13,동산,13,243.4,372.3
2026-08-13,동산,14,325.1,220.4
2026-08-13,동산,15,300.2,155.9
2026-08-13,동산,16,262.6,76.3
2026-08-13,동산,17,189.3,0.0
2026-08-13,동산,18,113.0,0.0
2026-08-13,동산,19,82.5,0.0
2026-08-13,동산,20,69.2,0.0
2026-08-13,동산,21,38.7,0.0
2026-08-13,동산,22,9.8,0.0
2026-08-13,동산,23,1.0,0.0
