date,node,hour,solar_mwh,chargeable_mwh
2025-04-06,남원,0,0.0,0.0
2025-04-06,남원,1,0.0,0.0
2025-04-06,남원,2,0.0,0.0
2025-04-06,남원,3,0.0,0.0
2025-04-06,남원,4,0.0,0.0
2025-04-06,남원,5,0.0,0.0
2025-04-06,남원,6,6.6,0.0
2025-04-06,남원,7,76.2,0.0
2025-04-06,남원,8,199.8,55.1
2025-04-06,남원,9,314.7,111.9
2025-04-06,남원,10,303.6,248.5
2025-04-06,남원,11,276.2,266.7
2025-04-06,남원,12,234.7,294.6
2025-04-06,남원,13,279.0,235.6
2025-04-06,남원,14,385.5,174.0
2025-04-06,남원,15,344.3,114.9
2025-04-06,남원,16,258.0,0.0
2025-04-06,남원,17,174.0,0.0
2025-04-06,남원,18,98.9,0.0
2025-04-06,남원,19,82.1,0.0
2025-04-06,남원,20,68.0,0.0
2025-04-06,남원,21,36.1,0.0
2025-04-06,남원,22,9.1,0.0
2025-04-06,남원,23,1.1,0.0
2025-04-06,동산,0,0.0,0.0
2025-04-06,동산,1,0.0,0.0
2025-04-06,동산,2,0.0,0.0
2025-04-06,동산,3,0.0,0.0
2025-04-06,동산,4,0.0,0.0
2025-04-06,동산,5,0.0,0.0
2025-04-06,동산,6,6.6,0.0
2025-04-06,동산,7,76.2,0.0
2025-04-06,동산,8,199.8,55.1
2025-04-06,동산,9,314.7,111.9
2025-04-06,동산,10,303.6,248.5
2025-04-06,동산,11,276.2,266.7
2025-04-06,동산,12,234.7,294.6
2025-04-06,동산,13,279.0,235.6
2025-04-06,동산,14,385.5,174.0
2025-04-06,동산,15,344.3,114.9
2025-04-06,동산,16,258.0,0.0
2025-04-06,동산,17,174.0,0.0
2025-04-06,동산,18,98.9,0.0
2025-04-06,동산,19,82.1,0.0
2025-04-06,동산,20,68.0,0.0
2025-04-06,동산,21,36.1,0.0
2025-04-06,동산,22,9.1,0.0
2025-04-06,동산,23,1.1,0.0
2025-04-06,새만금,0,0.0,0.0
2025-04-06,새만금,1,0.0,0.0
2025-04-06,새만금,2,0.0,0.0
2025-04-06,새만금,3,0.0,0.0
2025-04-06,새만금,4,0.0,0.0
2025-04-06,새만금,5,0.0,0.0
2025-04-06,새만금,6,6.6,0.0
2025-04-06,새만금,7,76.2,0.0
2025-04-06,새만금,8,199.8,55.1
2025-04-06,새만금,9,314.7,111.9
2025-04-06,새만금,10,303.6,248.5
2025-04-06,새만금,11,276.2,266.7
2025-04-06,새만금,12,234.7,294.6
2025-04-06,새만금,13,279.0,235.6
2025-04-06,새만금,14,385.5,174.0
2025-04-06,새만금,15,344.3,114.9
2025-04-06,새만금,16,258.0,0.0
2025-04-06,새만금,17,174.0,0.0
2025-04-06,새만금,18,98.9,0.0
