date,node,hour,predicted_deficit_mwh
2026-08-17,안중,0,0.0
2026-08-17,서화성,0,0.0
2026-08-17,안중,1,0.0
2026-08-17,서화성,1,0.0
2026-08-17,안중,2,0.0
2026-08-17,서화성,2,0.0
2026-08-17,안중,3,0.0
2026-08-17,서화성,3,0.0
2026-08-17,안중,4,0.0
2026-08-17,서화성,4,0.0
2026-08-17,안중,5,0.0
2026-08-17,서화성,5,0.0
2026-08-17,안중,6,0.0
2026-08-17,서화성,6,0.0
2026-08-17,안중,7,0.0
2026-08-17,서화성,7,0.0
2026-08-17,안중,8,0.0
2026-08-17,서화성,8,0.0
2026-08-17,안중,9,0.0
2026-08-17,서화성,9,0.0
2026-08-17,안중,10,10.2
2026-08-17,서화성,10,11.22
2026-08-17,안중,11,10.2
2026-08-17,서화성,11,11.22
2026-08-17,안중,12,10.2
2026-08-17,서화성,12,11.22
2026-08-17,안중,13,10.2
2026-08-17,서화성,13,11.22
2026-08-17,안중,14,10.2
2026-08-17,서화성,14,11.22
2026-08-17,안중,15,29.75
2026-08-17,서화성,15,32.725
2026-08-17,안중,16,29.75
2026-08-17,서화성,16,32.725
2026-08-17,안중,17,29.75
2026-08-17,서화성,17,32.725
2026-08-17,안중,18,29.75
2026-08-17,서화성,18,32.725
2026-08-17,안중,19,29.75
2026-08-17,서화성,19,32.725
2026-08-17,안중,20,29.75
2026-08-17,서화성,20,32.725
2026-08-17,안중,21,0.0
2026-08-17,서화성,21,0.0
2026-08-17,안중,22,0.0
2026-08-17,서화성,22,0.0
2026-08-17,안중,23,0.0
2026-08-17,서화성,23,0.0
2026-08-18,안중,0,0.0
2026-08-18,서화성,0,0.0
2026-08-18,안중,1,0.0
2026-08-18,서화성,1,0.0
2026-08-18,안중,2,0.0
2026-08-18,서화성,2,0.0
2026-08-18,안중,3,0.0
2026-08-18,서화성,3,0.0
2026-08-18,안중,4,0.0
2026-08-18,서화성,4,0.0
2026-08-18,안중,5,0.0
2026-08-18,서화성,5,0.0
2026-08-18,안중,6,0.0
2026-08-18,서화성,6,0.0
2026-08-18,안중,7,0.0
2026-08-18,서화성,7,0.0
2026-08-18,안중,8,0.0
2026-08-18,서화성,8,0.0
2026-08-18,안중,9,0.0
2026-08-18,서화성,9,0.0
2026-08-18,안중,10,12.0
2026-08-18,서화성,10,13.2
2026-08-18,안중,11,12.0
2026-08-18,서화성,11,13.2
2026-08-18,안중,12,12.0
2026-08-18,서화성,12,13.2
2026-08-18,안중,13,12.0
2026-08-18,서화성,13,13.2
2026-08-18,안중,14,12.0
2026-08-18,서화성,14,13.2
2026-08-18,안중,15,35.0
2026-08-18,서화성,15,38.5
2026-08-18,안중,16,35.0
2026-08-18,서화성,16,38.5
2026-08-18,안중,17,35.0
2026-08-18,서화성,17,38.5
2026-08-18,안중,18,35.0
2026-08-18,서화성,18,38.5
2026-08-18,안중,19,35.0
2026-08-18,서화성,19,38.5
2026-08-18,안중,20,35.0
2026-08-18,서화성,20,38.5
2026-08-18,안중,21,0.0
2026-08-18,서화성,21,0.0
2026-08-18,안중,22,0.0
2026-08-18,서화성,22,0.0
2026-08-18,안중,23,0.0
2026-08-18,서화성,23,0.0
2026-08-19,안중,0,0.0
2026-08-19,서화성,0,0.0
2026-08-19,안중,1,0.0
2026-08-19,서화성,1,0.0
2026-08-19,안중,2,0.0
2026-08-19,서화성,2,0.0
2026-08-19,안중,3,0.0
2026-08-19,서화성,3,0.0
2026-08-19,안중,4,0.0
2026-08-19,서화성,4,0.0
2026-08-19,안중,5,0.0
2026-08-19,서화성,5,0.0
2026-08-19,안중,6,0.0
2026-08-19,서화성,6,0.0
2026-08-19,안중,7,0.0
2026-08-19,서화성,7,0.0
2026-08-19,안중,8,0.0
2026-08-19,서화성,8,0.0
2026-08-19,안중,9,0.0
2026-08-19,서화성,9,0.0
2026-08-19,안중,10,13.8
2026-08-19,서화성,10,15.18
2026-08-19,안중,11,13.8
2026-08-19,서화성,11,15.18
2026-08-19,안중,12,13.8
2026-08-19,서화성,12,15.18
2026-08-19,안중,13,13.8
2026-08-19,서화성,13,15.18
2026-08-19,안중,14,13.8
2026-08-19,서화성,14,15.18
2026-08-19,안중,15,40.25
2026-08-19,서화성,15,44.275
2026-08-19,안중,16,40.25
2026-08-19,서화성,16,44.275
2026-08-19,안중,17,40.25
2026-08-19,서화성,17,44.275
2026-08-19,안중,18,40.25
2026-08-19,서화성,18,44.275
2026-08-19,안중,19,40.25
2026-08-19,서화성,19,44.275
2026-08-19,안중,20,40.25
2026-08-19,서화성,20,44.275
2026-08-19,안중,21,0.0
2026-08-19,서화성,21,0.0
2026-08-19,안중,22,0.0
2026-08-19,서화성,22,0.0
2026-08-19,안중,23,0.0
2026-08-19,서화성,23,0.0
