date,hour,predicted_smp_krw_per_kwh
2026-08-17,0,91.8
2026-08-17,1,91.8
2026-08-17,2,91.8
2026-08-17,3,91.8
2026-08-17,4,91.8
2026-08-17,5,91.8
2026-08-17,6,91.8
2026-08-17,7,91.8
2026-08-17,8,91.8
2026-08-17,9,81.6
2026-08-17,10,81.6
2026-08-17,11,81.6
2026-08-17,12,81.6
2026-08-17,13,81.6
2026-08-17,14,81.6
2026-08-17,15,81.6
2026-08-17,16,81.6
2026-08-17,17,113.9
2026-08-17,18,113.9
2026-08-17,19,113.9
2026-08-17,20,113.9
2026-08-17,21,81.6
2026-08-17,22,81.6
2026-08-17,23,81.6
2026-08-18,0,108.0
2026-08-18,1,108.0
2026-08-18,2,108.0
2026-08-18,3,108.0
2026-08-18,4,108.0
2026-08-18,5,108.0
2026-08-18,6,108.0
2026-08-18,7,108.0
2026-08-18,8,108.0
2026-08-18,9,96.0
2026-08-18,10,96.0
2026-08-18,11,96.0
2026-08-18,12,96.0
2026-08-18,13,96.0
2026-08-18,14,96.0
2026-08-18,15,96.0
2026-08-18,16,96.0
2026-08-18,17,134.0
2026-08-18,18,134.0
2026-08-18,19,134.0
2026-08-18,20,134.0
2026-08-18,21,96.0
2026-08-18,22,96.0
2026-08-18,23,96.0
2026-08-19,0,124.2
2026-08-19,1,124.2
2026-08-19,2,124.2
2026-08-19,3,124.2
2026-08-19,4,124.2
2026-08-19,5,124.2
2026-08-19,6,124.2
2026-08-19,7,124.2
2026-08-19,8,124.2
2026-08-19,9,110.4
2026-08-19,10,110.4
2026-08-19,11,110.4
2026-08-19,12,110.4
2026-08-19,13,110.4
2026-08-19,14,110.4
2026-08-19,15,110.4
2026-08-19,16,110.4
2026-08-19,17,154.1
2026-08-19,18,154.1
2026-08-19,19,154.1
2026-08-19,20,154.1
2026-08-19,21,110.4
2026-08-19,22,110.4
2026-08-19,23,110.4
2026-08-20,0,102.6
2026-08-20,1,102.6
2026-08-20,2,102.6
2026-08-20,3,102.6
2026-08-20,4,102.6
2026-08-20,5,102.6
2026-08-20,6,102.6
2026-08-20,7,102.6
2026-08-20,8,102.6
2026-08-20,9,91.2
2026-08-20,10,91.2
2026-08-20,11,91.2
2026-08-20,12,91.2
2026-08-20,13,91.2
2026-08-20,14,91.2
2026-08-20,15,91.2
2026-08-20,16,91.2
2026-08-20,17,127.3
2026-08-20,18,127.3
2026-08-20,19,127.3
2026-08-20,20,127.3
2026-08-20,21,91.2
2026-08-20,22,91.2
2026-08-20,23,91.2
2026-08-21,0,135.0
2026-08-21,1,135.0
2026-08-21,2,135.0
2026-08-21,3,135.0
2026-08-21,4,135.0
2026-08-21,5,135.0
2026-08-21,6,135.0
2026-08-21,7,135.0
2026-08-21,8,135.0
2026-08-21,9,120.0
2026-08-21,10,120.0
2026-08-21,11,120.0
2026-08-21,12,120.0
2026-08-21,13,120.0
2026-08-21,14,120.0
2026-08-21,15,120.0
2026-08-21,16,120.0
2026-08-21,17,167.5
2026-08-21,18,167.5
2026-08-21,19,167.5
2026-08-21,20,167.5
2026-08-21,21,120.0
2026-08-21,22,120.0
2026-08-21,23,120.0
2026-08-22,0,86.4
2026-08-22,1,86.4
2026-08-22,2,86.4
2026-08-22,3,86.4
2026-08-22,4,86.4
2026-08-22,5,86.4
2026-08-22,6,86.4
2026-08-22,7,86.4
2026-08-22,8,86.4
2026-08-22,9,76.8
2026-08-22,10,76.8
2026-08-22,11,76.8
2026-08-22,12,76.8
2026-08-22,13,76.8
2026-08-22,14,76.8
2026-08-22,15,76.8
2026-08-22,16,76.8
2026-08-22,17,107.2
2026-08-22,18,107.2
2026-08-22,19,107.2
2026-08-22,20,107.2
2026-08-22,21,76.8
2026-08-22,22,76.8
2026-08-22,23,76.8
2026-08-23,0,118.8
2026-08-23,1,118.8
2026-08-23,2,118.8
2026-08-23,3,118.8
2026-08-23,4,118.8
2026-08-23,5,118.8
2026-08-23,6,118.8
2026-08-23,7,118.8
2026-08-23,8,118.8
2026-08-23,9,105.6
2026-08-23,10,105.6
2026-08-23,11,105.6
2026-08-23,12,105.6
2026-08-23,13,105.6
2026-08-23,14,105.6
2026-08-23,15,105.6
2026-08-23,16,105.6
2026-08-23,17,147.4
2026-08-23,18,147.4
2026-08-23,19,147.4
2026-08-23,20,147.4
2026-08-23,21,105.6
2026-08-23,22,105.6
2026-08-23,23,105.6
