date,node,cargo_type,predicted_cargo_ton
2026-08-17,안중,pack_ev,5.6
2026-08-17,안중,pack_ess,0.8
2026-08-17,안중,blackmass,12.8
2026-08-17,서화성,pack_ev,6.048
2026-08-17,서화성,pack_ess,0.864
2026-08-17,서화성,blackmass,13.824
2026-08-17,천안,pack_ev,6.496
2026-08-17,천안,pack_ess,0.928
2026-08-17,천안,blackmass,14.848
2026-08-17,신례원,pack_ev,6.944
2026-08-17,신례원,pack_ess,0.992
2026-08-17,신례원,blackmass,15.872
2026-08-18,안중,pack_ev,5.95
2026-08-18,안중,pack_ess,0.85
2026-08-18,안중,blackmass,13.6
2026-08-18,서화성,pack_ev,6.426
2026-08-18,서화성,pack_ess,0.918
2026-08-18,서화성,blackmass,14.688
2026-08-18,천안,pack_ev,6.902
2026-08-18,천안,pack_ess,0.986
2026-08-18,천안,blackmass,15.776
2026-08-18,신례원,pack_ev,7.378
2026-08-18,신례원,pack_ess,1.054
2026-08-18,신례원,blackmass,16.864
2026-08-19,안중,pack_ev,6.3
2026-08-19,안중,pack_ess,0.9
2026-08-19,안중,blackmass,14.4
2026-08-19,서화성,pack_ev,6.804
2026-08-19,서화성,pack_ess,0.972
2026-08-19,서화성,blackmass,15.552
2026-08-19,천안,pack_ev,7.308
2026-08-19,천안,pack_ess,1.044
2026-08-19,천안,blackmass,16.704
2026-08-19,신례원,pack_ev,7.812
2026-08-19,신례원,pack_ess,1.116
2026-08-19,신례원,blackmass,17.856
2026-08-20,안중,pack_ev,6.65
2026-08-20,안중,pack_ess,0.95
2026-08-20,안중,blackmass,15.2
2026-08-20,서화성,pack_ev,7.182
2026-08-20,서화성,pack_ess,1.026
2026-08-20,서화성,blackmass,16.416
2026-08-20,천안,pack_ev,7.714
2026-08-20,천안,pack_ess,1.102
2026-08-20,천안,blackmass,17.632
2026-08-20,신례원,pack_ev,8.246
2026-08-20,신례원,pack_ess,1.178
2026-08-20,신례원,blackmass,18.848
2026-08-21,안중,pack_ev,7.0
2026-08-21,안중,pack_ess,1.0
2026-08-21,안중,blackmass,16.0
2026-08-21,서화성,pack_ev,7.56
2026-08-21,서화성,pack_ess,1.08
2026-08-21,서화성,blackmass,17.28
2026-08-21,천안,pack_ev,8.12
2026-08-21,천안,pack_ess,1.16
2026-08-21,천안,blackmass,18.56
2026-08-21,신례원,pack_ev,8.68
2026-08-21,신례원,pack_ess,1.24
2026-08-21,신례원,blackmass,19.84
2026-08-22,안중,pack_ev,7.35
2026-08-22,안중,pack_ess,1.05
2026-08-22,안중,blackmass,16.8
2026-08-22,서화성,pack_ev,7.938
2026-08-22,서화성,pack_ess,1.134
2026-08-22,서화성,blackmass,18.144
2026-08-22,천안,pack_ev,8.526
2026-08-22,천안,pack_ess,1.218
2026-08-22,천안,blackmass,19.488
2026-08-22,신례원,pack_ev,9.114
2026-08-22,신례원,pack_ess,1.302
2026-08-22,신례원,blackmass,20.832
2026-08-23,안중,pack_ev,7.7
2026-08-23,안중,pack_ess,1.1
2026-08-23,안중,blackmass,17.6
2026-08-23,서화성,pack_ev,8.316
2026-08-23,서화성,pack_ess,1.188
2026-08-23,서화성,blackmass,19.008
2026-08-23,천안,pack_ev,8.932
2026-08-23,천안,pack_ess,1.276
2026-08-23,천안,blackmass,20.416
2026-08-23,신례원,pack_ev,9.548
2026-08-23,신례원,pack_ess,1.364
2026-08-23,신례원,blackmass,21.824
